STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WESD
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/1/1990,18.12,0.28,0,0,,45,33,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/2/1990,13.87,0,0,0,,42,28,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/3/1990,7.61,0,0,0,,48,28,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/4/1990,9.17,0,0,0,,51,31,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/5/1990,10.29,0,0,0,,47,35,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/6/1990,8.28,0,0,0,,45,33,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/7/1990,8.95,0,0,0,,40,25,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/8/1990,8.95,1.15,0.8,0,,42,32,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/9/1990,10.51,0,0,0,,45,32,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/10/1990,14.54,0.03,0,0,,47,38,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/11/1990,14.09,0,0,0,,42,35,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/12/1990,18.12,0,0,0,,43,32,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/13/1990,19.91,0,0,0,,34,25,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/14/1990,12.97,0,0,0,,37,25,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/15/1990,9.84,0.1,0,0,,41,34,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/16/1990,8.05,0,0,0,,51,33,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/17/1990,9.62,0,0,0,,51,37,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/18/1990,11.41,0,0,0,,59,44,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/19/1990,14.09,0,0,0,,46,28,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/20/1990,5.82,0.46,0.6,0,,37,29,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/21/1990,9.4,0.12,0,0,,37,33,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/22/1990,7.83,0.04,0,0,,43,30,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/23/1990,10.51,0,0,0,,46,34,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/24/1990,9.62,0,0,0,,54,42,,
